province,sector,source,scenario,year,value,unit
all,total,total,reference,2037,12154.8611,Petajoules
AB,total,total,reference,2037,4426.0709,Petajoules
BC,total,total,reference,2037,1206.8191,Petajoules
MB,total,total,reference,2037,308.4344,Petajoules
NB,total,total,reference,2037,210.8927,Petajoules
NL,total,total,reference,2037,134.0147,Petajoules
NS,total,total,reference,2037,145.6124,Petajoules
NT,total,total,reference,2037,14.7112,Petajoules
NU,total,total,reference,2037,6.5221,Petajoules
ON,total,total,reference,2037,3134.7964,Petajoules
PE,total,total,reference,2037,23.9295,Petajoules
QC,total,total,reference,2037,1816.2569,Petajoules
SK,total,total,reference,2037,720.6866,Petajoules
YT,total,total,reference,2037,6.1142,Petajoules
all,total,total,reference,2038,12148.2167,Petajoules
AB,total,total,reference,2038,4421.1918,Petajoules
BC,total,total,reference,2038,1204.971,Petajoules
MB,total,total,reference,2038,308.0802,Petajoules
NB,total,total,reference,2038,210.0988,Petajoules
NL,total,total,reference,2038,131.2042,Petajoules
NS,total,total,reference,2038,144.73,Petajoules
NT,total,total,reference,2038,14.6302,Petajoules
NU,total,total,reference,2038,6.5381,Petajoules
ON,total,total,reference,2038,3137.7562,Petajoules
PE,total,total,reference,2038,23.8173,Petajoules
QC,total,total,reference,2038,1816.1093,Petajoules
SK,total,total,reference,2038,723.239,Petajoules
YT,total,total,reference,2038,5.8514,Petajoules
all,total,total,reference,2039,12146.2374,Petajoules
AB,total,total,reference,2039,4420.4262,Petajoules
BC,total,total,reference,2039,1202.4728,Petajoules
MB,total,total,reference,2039,307.755,Petajoules
NB,total,total,reference,2039,209.3379,Petajoules
NL,total,total,reference,2039,129.8936,Petajoules
NS,total,total,reference,2039,143.7626,Petajoules
NT,total,total,reference,2039,14.5488,Petajoules
NU,total,total,reference,2039,6.5541,Petajoules
ON,total,total,reference,2039,3140.6224,Petajoules
PE,total,total,reference,2039,23.7309,Petajoules
QC,total,total,reference,2039,1815.8805,Petajoules
SK,total,total,reference,2039,725.9301,Petajoules
YT,total,total,reference,2039,5.3236,Petajoules
all,total,total,reference,2040,12138.3786,Petajoules
AB,total,total,reference,2040,4412.9807,Petajoules
BC,total,total,reference,2040,1199.5707,Petajoules
MB,total,total,reference,2040,307.3943,Petajoules
NB,total,total,reference,2040,208.5306,Petajoules
NL,total,total,reference,2040,128.0585,Petajoules
NS,total,total,reference,2040,142.7984,Petajoules
NT,total,total,reference,2040,14.4776,Petajoules
NU,total,total,reference,2040,6.5742,Petajoules
ON,total,total,reference,2040,3144.0972,Petajoules
PE,total,total,reference,2040,23.619,Petajoules
QC,total,total,reference,2040,1816.0802,Petajoules
SK,total,total,reference,2040,728.8698,Petajoules
YT,total,total,reference,2040,5.3279,Petajoules
all,total,total,technology,2005,10401.5005,Petajoules
AB,total,total,technology,2005,2704.4816,Petajoules
BC,total,total,technology,2005,1244.2402,Petajoules
MB,total,total,technology,2005,291.0647,Petajoules
NB,total,total,technology,2005,249.7679,Petajoules
NL,total,total,technology,2005,160.2074,Petajoules
NS,total,total,technology,2005,203.4018,Petajoules
NT,total,total,technology,2005,18.3819,Petajoules
NU,total,total,technology,2005,3.3649,Petajoules
ON,total,total,technology,2005,3073.1324,Petajoules
PE,total,total,technology,2005,25.8324,Petajoules
QC,total,total,technology,2005,1866.6492,Petajoules
SK,total,total,technology,2005,554.0623,Petajoules
YT,total,total,technology,2005,6.9139,Petajoules
all,total,total,technology,2006,10356.1824,Petajoules
AB,total,total,technology,2006,2854.2503,Petajoules
BC,total,total,technology,2006,1201.6975,Petajoules
MB,total,total,technology,2006,274.935,Petajoules
NB,total,total,technology,2006,251.0348,Petajoules
NL,total,total,technology,2006,161.6429,Petajoules
NS,total,total,technology,2006,197.4094,Petajoules
NT,total,total,technology,2006,18.7825,Petajoules
NU,total,total,technology,2006,4.4662,Petajoules
ON,total,total,technology,2006,2968.0291,Petajoules
PE,total,total,technology,2006,24.7981,Petajoules
QC,total,total,technology,2006,1846.7326,Petajoules
SK,total,total,technology,2006,545.0724,Petajoules
YT,total,total,technology,2006,7.3317,Petajoules
all,total,total,technology,2007,10738.8804,Petajoules
AB,total,total,technology,2007,3001.8955,Petajoules
BC,total,total,technology,2007,1218.8713,Petajoules
MB,total,total,technology,2007,290.8349,Petajoules
NB,total,total,technology,2007,261.9241,Petajoules
NL,total,total,technology,2007,175.6906,Petajoules
NS,total,total,technology,2007,210.9811,Petajoules
NT,total,total,technology,2007,24.9879,Petajoules
NU,total,total,technology,2007,4.9495,Petajoules
ON,total,total,technology,2007,3030.9081,Petajoules
PE,total,total,technology,2007,26.3018,Petajoules
QC,total,total,technology,2007,1905.8706,Petajoules
SK,total,total,technology,2007,578.6918,Petajoules
YT,total,total,technology,2007,6.9727,Petajoules
all,total,total,technology,2008,10476.3597,Petajoules
AB,total,total,technology,2008,2905.0145,Petajoules
BC,total,total,technology,2008,1156.3424,Petajoules
MB,total,total,technology,2008,290.4399,Petajoules
NB,total,total,technology,2008,245.3765,Petajoules
NL,total,total,technology,2008,169.0016,Petajoules
NS,total,total,technology,2008,205.5159,Petajoules
NT,total,total,technology,2008,21.9966,Petajoules
NU,total,total,technology,2008,4.6517,Petajoules
ON,total,total,technology,2008,3003.2077,Petajoules
PE,total,total,technology,2008,25.3712,Petajoules
QC,total,total,technology,2008,1854.9108,Petajoules
SK,total,total,technology,2008,588.012,Petajoules
YT,total,total,technology,2008,6.5185,Petajoules
all,total,total,technology,2009,10119.13,Petajoules
AB,total,total,technology,2009,2902.701,Petajoules
BC,total,total,technology,2009,1111.7849,Petajoules
MB,total,total,technology,2009,282.2359,Petajoules
NB,total,total,technology,2009,252.0603,Petajoules
NL,total,total,technology,2009,160.5042,Petajoules
NS,total,total,technology,2009,202.3797,Petajoules
NT,total,total,technology,2009,16.3174,Petajoules
NU,total,total,technology,2009,4.477,Petajoules
ON,total,total,technology,2009,2761.7552,Petajoules
PE,total,total,technology,2009,25.5463,Petajoules
QC,total,total,technology,2009,1797.7404,Petajoules
